ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CP5P,NA,DIM1 dimethyladenosine transferase 1 homolog [Xenopus laevis],DIMT1,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)
ENOG411CP5Q,"lipg.S, lipg.L","lipase, endothelial precursor [Xenopus laevis], NA",LIPG,"Lipase, endothelial"
ENOG411CP5R,"gpr107.L, gpr107.S","G protein-coupled receptor 107 [Xenopus laevis], LOC495226 protein [Xenopus laevis], NA","GPR107, GPR108",G- protein-coupled receptor
ENOG411CP5S,"cabp7.S, cabp7.L",NA,CABP7,calcium binding protein 7
ENOG411CP5T,NA,MGC82392 protein [Xenopus laevis],DCAF7,ddb1 and cul4 associated factor 7
ENOG411CP5U,"cpne7.L, cpne4.S, cpne4.L, cpne7.S",NA,"CPNE4, CPNE7, CPNE6",copine IV
ENOG411CP5W,"rtn4rl1.L, rtn4rl1.S, rtn4rl2.L",NA,"RTN4RL1, RTN4RL2",Reticulon 4 receptor-like
ENOG411CP5X,ntan1.L,"N-terminal asparagine amidase [Xenopus laevis], NA",NTAN1,N-terminal asparagine amidase
ENOG411CP5Y,"Xetrov90021454m.S, Xetrov90021454m.L","RecName: Full=Protein KIAA0284 homolog, NA",CEP170B,kiaa0284
ENOG411CP5Z,"Xelaev18042323m.g, fam122b.S, loc550042.L","family with sequence similarity 122A [Xenopus laevis], NA","FAM122A, FAM122B",family with sequence similarity
ENOG411CP60,noa1.L,NA,NOA1,nitric oxide associated 1
ENOG411CP61,"galnt13.S, galnt13.L, Xelaev18003857m.g","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) [Xenopus laevis], UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13) [Xenopus laevis], NA","GALNT1, GALNT13",UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase
ENOG411CP62,"elavl2.S, elavl4.S, elavl4.L","ELAV-like protein 4 [Xenopus laevis], ELAV-like protein 2 [Xenopus laevis], ELAV (embryonic lethal, abnormal vision)-like 2 (Hu antigen B) [Xenopus laevis], Xel-1 protein [Xenopus laevis], unnamed protein product [Xenopus laevis], ElrD protein [Xenopus laevis], Elavl2-a protein [Xenopus laevis], NA","ELAVL2, ELAVL4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like"
ENOG411CP63,cnot8.L,"RecName: Full=CCR4-NOT transcription complex subunit 7; AltName: Full=CCR4-associated factor 1; Short=CAF-1, CCR4-NOT transcription complex, subunit 8 [Xenopus laevis], NA","CNOT8, CNOT7",CCR4-NOT transcription complex subunit
ENOG411CP64,junb.L,"Junb protein [Xenopus laevis], jun B proto-oncogene [Xenopus laevis], NA",JUNB,Jun B proto-oncogene
ENOG411CP65,"dock6-like.S, dock6-like.L","LOC443597 protein [Xenopus laevis], NA","DOCK7, DOCK6",dedicator of cyto-kinesis
ENOG411CP66,lig1.L,"ligase I [Xenopus laevis], NA",LIG1,"Ligase I, DNA, ATP-dependent"
ENOG411CP67,"ltk.L, alk.S, alk.L, ltk.S",NA,"ALK, LTK",receptor tyrosine kinase
ENOG411CP69,"mrps10.L, mrps10.S",NA,MRPS10,mitochondrial ribosomal protein S10
ENOG411CP6A,NA,"LOC397932 protein [Xenopus laevis], RAN binding protein 1 [Xenopus laevis]",RANBP1,Ran binding protein 1
ENOG411CP6B,"cd226.L, cd226.S",NA,CD226,CD226 molecule
ENOG411CP6C,hspg2.L,NA,HSPG2,heparan sulfate proteoglycan 2
ENOG411CP6D,"itga5.S, itga5.L","integrin alpha-5 precursor [Xenopus laevis], Integrin alpha5 subunit [Xenopus laevis], integrin alpha 5 subunit [Xenopus laevis], integrin alpha5tr subunit [Xenopus laevis], NA",ITGA5,"Integrin, alpha 5 (Fibronectin receptor, alpha polypeptide)"
ENOG411CP6G,tceanc2.S,"MGC84060 protein [Xenopus laevis], NA",TCEANC2,transcription elongation factor A (SII) N-terminal and central domain containing 2
ENOG411CP6H,"plekha1.S, plekha1.L","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 [Xenopus laevis], NA",PLEKHA1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1"
ENOG411CP6J,"grhl1.L, grhl1.S, grhl2.S, grhl2.L","grainyhead-like protein 1 homolog [Xenopus laevis], Grhl1 protein [Xenopus laevis], NA","GRHL2, GRHL1",grainyhead-like 2 (Drosophila)
ENOG411CP6K,"spdl1.L, spdl1.S","protein Spindly-A [Xenopus laevis], protein Spindly-B [Xenopus laevis], NA",SPDL1,spindle apparatus coiled-coil protein 1
ENOG411CP6M,"kndc1.L, kndc1.S",NA,KNDC1,kinase non-catalytic C-lobe domain (KIND) containing 1
ENOG411CP6N,"ndrg2.S, ndrg2.L, Xelaev18022839m.g","protein NDRG2 [Xenopus laevis], protein NDRG4-A [Xenopus laevis], protein NDRG4-B [Xenopus laevis], MGC84035 protein [Xenopus laevis], NA","NDRG2, NDRG4",NDRG family member
ENOG411CP6R,"f12.L, hgfac.L, hgfac.S","LOC100037012 protein [Xenopus laevis], NA","HGFAC, F12",coagulation factor XII (Hageman factor)
ENOG411CP6S,"tmx3.S, tmx3.L","thioredoxin-related transmembrane protein 3 precursor [Xenopus laevis], protein disulfide-isomerase TMX3 precursor [Xenopus laevis], NA",TMX3,thioredoxin-related transmembrane protein 3
ENOG411CP6U,"Xelaev18036111m.g, otog.S","otogelin precursor [Xenopus laevis], NA",OTOGL,Otogelin-like
ENOG411CP6W,"gnai2.S, gnai2.L","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Xenopus laevis], guanine nucleotide-binding protein Gi alpha subunit [Xenopus laevis], NA",GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
ENOG411CP6X,loc100490041.L,NA,GLYATL3,glycine-N-acyltransferase-like 3
ENOG411CP6Z,"setd7.S, setd7.L",NA,SETD7,SET domain containing (lysine methyltransferase) 7
ENOG411CP70,"spire2.S, spire1.S, spire1.L, spire2.L",NA,"SPIRE1, SPIRE2",spire homolog
ENOG411CP71,ccdc109b.S,"coiled-coil domain containing 109B [Xenopus laevis], NA",MCUB,Coiled-coil domain containing 109B
ENOG411CP72,NA,"aquaporin 3 (Gill blood group) [Xenopus laevis], aquaporin [Xenopus laevis], Aqp3 protein [Xenopus laevis]",AQP3,Aquaporin 3 (Gill blood group)
ENOG411CP73,atxn1l.L,"LOC100158423 protein [Xenopus laevis], NA",ATXN1L,ataxin 1-like
ENOG411CP74,"kcnf1.L, kcnf1.S",NA,KCNF1,"potassium voltage-gated channel, subfamily F, member 1"
ENOG411CP75,"chrnb3.L, chrna5-like.S, chrna5-like.L, chrnb3.S","cholinergic receptor, nicotinic, alpha 5 precursor [Xenopus laevis], cholinergic receptor, nicotinic, beta 3 [Xenopus laevis], NA","CHRNA5, CHRNB3","cholinergic receptor, nicotinic"
ENOG411CP76,"rps6ka6.S, rps6ka2.S, rps6ka6.L, rps6ka1.S","RecName: Full=Ribosomal protein S6 kinase 2 alpha; AltName: Full=MAP kinase-activated protein kinase 1; Short=MAPK-activated protein kinase 1; Short=MAPKAP kinase 1; Short=MAPKAPK-1; AltName: Full=Ribosomal protein S6 kinase II alpha; Short=S6KII-alpha; AltName: Full=p90-RSK, RecName: Full=Ribosomal protein S6 kinase 2 beta; AltName: Full=Ribosomal protein S6 kinase II beta; Short=S6KII-beta; AltName: Full=p90-RSK, ribosomal protein S6 kinase 2 beta [Xenopus laevis], NA","RPS6KA1, RPS6KA2, RPS6KA6","Ribosomal protein S6 kinase, 90kDa, polypeptide"
ENOG411CP77,"loc100491983.1.L, loc100485121.S, kcnh7.S, loc100491983.S, Xelaev18003149m.g, loc100485121.L, Xelaev18032607m.g, kcnh7.L",NA,"KCNH7, KCNH2, KCNH6","Potassium voltage-gated channel, subfamily H (Eag-related), member"
ENOG411CP79,"loc100125055.L, galr2.L, loc100125055.S, galr3.S, galr3.L, galr2.S",NA,"GALR2, GALR3",Galanin receptor
ENOG411CP7A,ankrd13c.S,"ankyrin repeat domain-containing protein 13C-B [Xenopus laevis], ankyrin repeat domain-containing protein 13C-A [Xenopus laevis], NA",ANKRD13C,ankyrin repeat domain 13C
ENOG411CP7B,heatr3.L,NA,HEATR3,HEAT repeat containing 3
ENOG411CP7C,None,NA,TNFSF13,Tumor necrosis factor (Ligand) superfamily member
ENOG411CP7D,"hgf.S, mst1.L, hgf.L, mst1.S","hepatocyte growth factor, growth factor Livertine [Xenopus laevis], macrophage stimulating 1 (hepatocyte growth factor-like) [Xenopus laevis], MGC54016 protein [Xenopus laevis], LOC397993 protein [Xenopus laevis], NA","MST1L, MST1, HGF",hepatocyte growth factor (hepapoietin A
ENOG411CP7G,"march4.S, march11.S, march4.L","LOC443709 protein [Xenopus laevis], NA","MARCH4, MARCH9, MARCH11",membrane-associated ring finger (C3HC4)
ENOG411CP7I,"slc17a5.S, slc17a5.L","LOC100158341 protein [Xenopus laevis], NA",SLC17A5,"solute carrier family 17 (anion sugar transporter), member 5"
ENOG411CP7J,"znf281.L, znf148.S, znf148.L, znf281.S",NA,"ZNF281, ZNF148",Zinc finger protein
ENOG411CP7K,sptbn5.L,NA,SPTBN5,"spectrin, beta, non-erythrocytic 5"
ENOG411CP7M,fan1.L,NA,FAN1,FANCD2 FANCI-associated nuclease 1
ENOG411CP7N,"abhd8.S, abhd8.L","abhydrolase domain-containing protein 8 [Xenopus laevis], NA",NA,Abhydrolase domain containing 8
ENOG411CP7P,"pik3r4.S, pik3r4.L","adaptor protein p150 [Xenopus laevis], NA",PIK3R4,"phosphoinositide-3-kinase, regulatory subunit 4"
ENOG411CP7Q,"fam208a.S, fam208a.L","RecName: Full=Uncharacterized protein C3orf63 homolog, family with sequence similarity 208, member A [Xenopus laevis], Unknown (protein for IMAGE:6324285) [Xenopus laevis], NA",TASOR,"family with sequence similarity 208, member A"
ENOG411CP7R,"nt5m.L, nt5m.S",NA,"NT5M, NT5C","5', 3'-nucleotidase, cytosolic"
ENOG411CP7S,"tex264.S, tex264.L",NA,TEX264,testis expressed 264
ENOG411CP7T,"lhx8.L, lhx8.S","Lhx7 protein [Xenopus laevis], LIM homeobox 8 [Xenopus laevis], NA",LHX8,LIM homeobox 8
ENOG411CP7U,"med16.L, med16.S","mediator of RNA polymerase II transcription subunit 16 [Xenopus laevis], NA",MED16,mediator complex subunit 16
ENOG411CP7V,"isoc2.L, isoc2.S","isochorismatase domain-containing protein 2, mitochondrial precursor [Xenopus laevis], NA",ISOC2,Isochorismatase domain containing 2
ENOG411CP7W,gna13.L,"uncharacterized protein LOC496349 [Xenopus laevis], NA","GNA13, GNA12",Guanine nucleotide binding protein (G protein) alpha
ENOG411CP7X,"znf703.S, Xelaev18001691m.g, Xelaev18000555m.g, Xelaev18025518m.g","RecName: Full=Zinc finger protein 703-B, RecName: Full=Zinc finger protein 703-A, Znf703-a protein [Xenopus laevis], nocA-like zinc finger 1 [Xenopus laevis], NA","ZNF503, ZNF703",Zinc finger protein
ENOG411CP7Y,"ntf3.S, ntf3.L","neurotrophin-3 precursor [Xenopus laevis], neurotrophin 3 precursor [Xenopus laevis], NA",NTF3,neurotrophin 3
ENOG411CP80,"lrrc30.L, lrrc30.S",NA,LRRC30,Leucine rich repeat containing 30
ENOG411CP81,None,NA,OR52N1,"olfactory receptor, family 52, subfamily N, member"
ENOG411CP82,"msl1.L, msl1.S",NA,MSL1,male-specific lethal 1 homolog (Drosophila)
ENOG411CP83,"dtx3.S, dtx3.L","LOC100126653 protein [Xenopus laevis], LOC733241 protein [Xenopus laevis], NA",DTX3,deltex homolog 3 (Drosophila)
ENOG411CP84,"acat1.L, acat1.S","acetyl-CoA acetyltransferase A, mitochondrial precursor [Xenopus laevis], acetyl-CoA acetyltransferase B, mitochondrial precursor [Xenopus laevis], NA",ACAT1,acetyl-CoA acetyltransferase 1
ENOG411CP85,slc25a48.L,NA,SLC25A48,Solute carrier family 25 member 48
ENOG411CP86,"sugp1.L, sugp1.S","LOC494697 protein [Xenopus laevis], LOC495256 protein [Xenopus laevis], NA",SUGP1,SURP and G patch domain containing 1
ENOG411CP87,dph2.L,"diphthamide biosynthesis protein 2 [Xenopus laevis], NA",DPH2,DPH2 homolog (S. cerevisiae)
ENOG411CP88,crym.L,"MGC85331 protein [Xenopus laevis], LOC100101313 protein [Xenopus laevis], NA",CRYM,"Crystallin, mu"
ENOG411CP89,"Xelaev18025152m.g, Xelaev18025153m.g, Xelaev18023022m.g","Mysm1 protein [Xenopus laevis], NA",MYSM1,"Myb-like, SWIRM and MPN domains 1"
ENOG411CP8A,NA,"N-alpha-acetyltransferase 20, NatB catalytic subunit [Xenopus laevis]",NAA20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit"
ENOG411CP8B,"mib2.L, mib2.S","LOC100158387 protein [Xenopus laevis], LOC100158426 protein [Xenopus laevis], NA",MIB2,mindbomb E3 ubiquitin protein ligase 2
ENOG411CP8C,lrrc48.L,NA,DRC3,leucine rich repeat containing 48
ENOG411CP8D,col4a3bp.S,"collagen type IV alpha-3-binding protein [Xenopus laevis], NA",COL4A3BP,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein"
ENOG411CP8E,"ubr5.S, ubr5.L",NA,UBR5,Ubiquitin protein ligase E3 component n-recognin 5
ENOG411CP8F,"syngr3.S, syngr3.L","LOC446291 protein [Xenopus laevis], NA",SYNGR3,Synaptogyrin 3
ENOG411CP8G,"ssh1.L, ssh2.S, ssh2.L","MGC154316 protein [Xenopus laevis], SSH protein [Xenopus laevis], protein phosphatase Slingshot homolog [Xenopus laevis], slingshot-related protein [Xenopus laevis], RecName: Full=Protein phosphatase Slingshot homolog; Short=xSSH; AltName: Full=Slingshot-related protein, NA","SSH3, SSH2, SSH1",slingshot homolog
ENOG411CP8H,"greb1.L, Xelaev18031898m.g, Xelaev18033641m.g, Xelaev18003283m.g, greb1.S",NA,"GREB1, GREB1L",growth regulation by estrogen in breast
ENOG411CP8I,"alpk3.L, alpk2.L, alpk3.S, alpk2.S",NA,"ALPK3, ALPK2",alpha-kinase
ENOG411CP8J,clasrp.L,NA,CLASRP,CLK4-associating serine arginine rich protein
ENOG411CP8K,"zbtb25.S, zbtb25.L","zinc finger and BTB domain containing 25 [Xenopus laevis], NA",ZBTB25,Zinc finger and BTB domain containing 25
ENOG411CP8M,"amph.L, bin1.L, bin1.S","MGC82791 protein [Xenopus laevis], amphiphysin [Xenopus laevis], bridging integrator 1 [Xenopus laevis], NA",AMPH,Bridging integrator 1
ENOG411CP8N,"sept2-a.L, sept2-a.S, sept2.S","XlSeptA protein [Xenopus laevis], septin A [Xenopus laevis], septin-2B [Xenopus laevis], NA",SEPTIN2,septin 2
ENOG411CP8P,NA,"LOC100037107 protein [Xenopus laevis], myosin light chain 1av [Xenopus laevis], myosin, light chain 3, alkali; ventricular, skeletal, slow [Xenopus laevis]","MYL4, MYL3",myosin light chain
ENOG411CP8R,"eif3h.S, eif3h.L","LOC100037221 protein [Xenopus laevis], eukaryotic translation initiation factor 3 subunit H [Xenopus laevis], NA",EIF3H,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation (By similarity)"
ENOG411CP8T,NA,methyltransferase like 3 [Xenopus laevis],METTL3,methyltransferase like 3
ENOG411CP8V,erlec1.L,"LOC495829 protein [Xenopus laevis], LOC100137614 protein [Xenopus laevis], NA",ERLEC1,Endoplasmic reticulum lectin 1
ENOG411CP8W,"arrdc2.L, arrdc2.S","LOC100158379 protein [Xenopus laevis], arrestin domain containing 2 [Xenopus laevis], MGC81105 protein [Xenopus laevis], NA",ARRDC2,Arrestin domain containing 2
ENOG411CP8X,"tnmd.L, tnmd.S",NA,TNMD,Tenomodulin
ENOG411CP8Y,NA,kelch-like 7 [Xenopus laevis],KLHL7,Kelch-like 7 (Drosophila)
ENOG411CP8Z,ccr7.S,"LOC100036961 protein [Xenopus laevis], chemokine (C-C motif) receptor 7 [Xenopus laevis], MGC80638 protein [Xenopus laevis], NA",CCR7,Chemokine (C-C motif) receptor 7
ENOG411CP90,"loc100170549.S, loc100170549.L, lamb4.L",NA,LAMB4,"laminin, beta 4"
ENOG411CP93,"brox.S, brox.L",NA,BROX,BRO1 domain and CAAX motif containing
ENOG411CP94,NA,uncharacterized protein LOC379727 [Xenopus laevis],NOP9,NOP9 nucleolar protein homolog (yeast)
ENOG411CP95,NA,"similar to signal sequence receptor, alpha precursor [Xenopus laevis], signal sequence receptor, alpha (translocon-associated protein alpha) precursor [Xenopus laevis], Ssr1 protein [Xenopus laevis]",SSR1,"signal sequence receptor, alpha"
ENOG411CP96,"fgf5.L, fgf5.S","fibroblast growth factor 5 [Xenopus laevis], NA",FGF5,fibroblast growth factor 5
ENOG411CP98,"mmp24.S, mmp16.S, mmp16.L, mmp24.L","matrix metalloproteinase MT3-MMP [Xenopus laevis], matrix metallopeptidase 16 (membrane-inserted) precursor [Xenopus laevis], MT3-MMP protein [Xenopus laevis], NA","MMP24, MMP16",matrix metallopeptidase
ENOG411CP99,"dock2.L, dock5.L",NA,"DOCK2, DOCK5",dedicator of cyto-kinesis
ENOG411CP9A,"synpr.L, synpr.S, syp.S, syp.L","synaptophysin [Xenopus laevis], NA","SYP, SYNPR",Synaptoporin
ENOG411CP9D,"akr7a2.S, akr7a2.L","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Xenopus laevis], NA","AKR7A2, AKR7L, AKR7A3","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
ENOG411CP9E,"loc100497030-like.S, srr.L",NA,SRR,serine racemase
ENOG411CP9F,"rapgefl1.S, rapgefl1.L",NA,RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1
ENOG411CP9H,"ces2.L, loc100493819-like.L, loc100493652-like.L, loc100494149.L","Unknown (protein for IMAGE:7008486) [Xenopus laevis], Unknown (protein for MGC:160165) [Xenopus laevis], LOC443703 protein [Xenopus laevis], Unknown (protein for IMAGE:7009710) [Xenopus laevis], NA","CES2, CES1, CES5A",Carboxylesterase
ENOG411CP9I,"baz1a.L, baz1a.S","ATP-utilizing chromatin assembly factor 1 [Xenopus laevis], NA",BAZ1A,"Bromodomain adjacent to zinc finger domain, 1A"
ENOG411CP9J,"cldn6.2.S, cldn4.L, cldn4.S, cldn3.S, cldn6.1.L","transmembrane tight junction protein claudin [Xenopus laevis], claudin 4 [Xenopus laevis], claudin 6, gene 2 [Xenopus laevis], claudin 3 [Xenopus laevis], claudin 6, gene 1 [Xenopus laevis], claudin4L2 [Xenopus laevis], claudin A [Xenopus laevis], NA","CLDN3, CLDN4, CLDN9, CLDN6",claudin 6
ENOG411CP9K,"gyg1.L, gyg1.S, gyg2.L","mitotic phosphoprotein 45 [Xenopus laevis], glycogenin 1 [Xenopus laevis], LOC100126641 protein [Xenopus laevis], NA","GYG2, GYG1",Glycogenin
ENOG411CP9M,ttyh3.L,"uncharacterized protein LOC431815 [Xenopus laevis], protein tweety homolog 2 [Xenopus laevis], protein tweety homolog 3 [Xenopus laevis], NA","TTYH3, TTYH2",Tweety homolog
ENOG411CP9P,"selt.S, selt.L","selenoprotein T [Xenopus laevis], similar to selenoprotein T [Xenopus laevis], NA",SELENOT,selenoprotein T
ENOG411CP9Q,"wfs1.L, wfs1.S","Wolfram syndrome 1 (wolframin) [Xenopus laevis], NA",WFS1,Wolfram syndrome 1 (wolframin)
ENOG411CP9S,"pcsk5.S, pcsk6.S, pcsk6.L, pcsk5.L","proprotein convertase subtilisin/kexin type 6 precursor [Xenopus laevis], uncharacterized protein LOC495940 precursor [Xenopus laevis], proprotein convertase subtilisin/kexin type 5 precursor [Xenopus laevis], subtilisin-like protease SPC6A [Xenopus laevis], PACE4AIIa [Xenopus laevis], PACE4AIIb [Xenopus laevis], proprotein convertase 6A [Xenopus laevis], proprotein convertase 6C [Xenopus laevis], proprotein convertase 6D [Xenopus laevis], proprotein convertase 6E [Xenopus laevis], proprotein convertase 6F [Xenopus laevis], NA","PCSK5, PCSK6",proprotein convertase subtilisin kexin type
ENOG411CP9T,"blnk.S, blnk.L","B-cell linker [Xenopus laevis], adaptor protein BLNK [Xenopus laevis], NA",BLNK,B-cell linker
ENOG411CP9U,tcte1.L,NA,TCTE1,T-complex-associated-testis-expressed 1
ENOG411CP9V,"uchl5.S, uchl5.L","LOC733154 protein [Xenopus laevis], NA",UCHL5,ubiquitin carboxyl-terminal hydrolase L5
ENOG411CP9X,gpatch11.L,"LOC446972 protein [Xenopus laevis], NA",GPATCH11,coiled-coil domain containing 75
ENOG411CP9Y,"selplg.S, selplg-like.L",NA,SELPLG,Selectin P ligand
ENOG411CP9Z,c5orf22.L,"hypothetical protein LOC398755 [Xenopus laevis], NA",C5orf22,chromosome 5 open reading frame 22
ENOG411CPA0,"aatk.L, aatk.S, lmtk3.L, lmtk3.S",NA,"AATK, LMTK3",tyrosine kinase
