accession,eggnogID,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,XL_ID,XL_ID_source,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProtID,HUMAN_GeneNames_Primary,HUMAN_GeneNames_Synonyms,eggNOG_annotation,bait
ENOG411CRST,ENOG411CRST,8,8,16,3690402.99609375,6221785.375,4956094.185546875,1.6859365715846453,0.7535502601343135,2,14,4.380655061114345,2.1311466193146575,2.8208803919611887,"147900404, 147906212, 148227816, Xelaev18022045m.g, Xelaev18037859m.g, Xelaev18024318m.g, Xelaev18036138m.g","GenBank, Xenbase_9.1","ppp6r3.L, ppp6r1.S, ppp6r3.S, ppp6r1.L","protein phosphatase 6, regulatory subunit 1 [Xenopus laevis], serine/threonine-protein phosphatase 6 regulatory subunit 3-A [Xenopus laevis], serine/threonine-protein phosphatase 6 regulatory subunit 3-B [Xenopus laevis], NA","Q5H9R7, Q9UPN7","PPP6R3, PPP6R1","C11orf23 KIAA1558 PP6R3 SAPL SAPS3, KIAA1115 PP6R1 SAPS1","Protein phosphatase 6, regulatory subunit",heatr2
ENOG411CVIU,ENOG411CVIU,9,9,12,4909838.8828125,8250672.546875,6580255.71484375,1.6804365161059567,0.7488360412302024,1,11,5.256786073337214,2.3941810251484514,2.7434826271955,"147902160, 148234429, Xelaev18020199m.g, Xelaev18018749m.g","GenBank, Xenbase_9.1","xpo7.S, xpo7.L","exportin-7-A [Xenopus laevis], exportin-7-B [Xenopus laevis], NA","Q9UIA9, Q9H2T7","XPO7, RANBP17","KIAA0745 RANBP16, NA",RAN binding protein 17,heatr2
ENOG411CSY9,ENOG411CSY9,8,8,12,5327450.8828125,7742455.4453125,6534953.1640625,1.453313341713074,0.5393457888614727,1,11,5.256786073337214,2.3941810251484514,2.7434826271955,"147905097, 51703709, Xelaev18005678m.g, Xelaev18037141m.g, Xelaev18034885m.g, Xelaev18009370m.g","GenBank, Xenbase_9.1","sec24d-like.1.L, sec24d-like.2.S, sec24d-like.2.L, sec24d-like.1.S","SEC24 family, member D [Xenopus laevis], LOC446945 protein [Xenopus laevis], NA","P53992, O94855","SEC24C, SEC24D","KIAA0079, KIAA0755","SEC24 family, member",heatr2
ENOG411CWKE,ENOG411CWKE,7,7,8,3555526.34375,6753721.822265631,5154624.083007815,1.8994998684618114,0.925619612097961,0,8,7.88517911000582,2.9791435258696075,2.730883753030497,"118835664, 147899342, 51513432, Xelaev18005812m.g, Xelaev18009488m.g","GenBank, Xenbase_9.1","uso1.L, uso1.S","LOC446301 protein [Xenopus laevis], USO1 vesicle docking protein homolog [Xenopus laevis], NA",O60763,USO1,VDP,USO1 vesicle docking protein homolog (yeast),heatr2
ENOG411CZKB,ENOG411CZKB,5,5,8,12257759.328125,18452588.296875,15355173.8125,1.505380208806693,0.5901279096324756,0,8,7.88517911000582,2.9791435258696075,2.730883753030497,"148232264, Xelaev18012760m.g","GenBank, Xenbase_9.1",asl.L,"argininosuccinate lyase [Xenopus laevis], NA","H7C0S8, P04424","NA, ASL",NA,argininosuccinate lyase,heatr2
ENOG411CT6E,ENOG411CT6E,4,4,8,42060.7734375,2853656.328125,1447858.55078125,67.8460259977239,6.084192408817669,0,8,7.88517911000582,2.9791435258696075,2.730883753030497,"147905716, 148235791, 148236946, Xelaev18026919m.g","GenBank, Xenbase_9.1",adss.L,"adenylosuccinate synthetase isozyme 2 [Xenopus laevis], adenylosuccinate synthetase isozyme 1 B [Xenopus laevis], adenylosuccinate synthetase isozyme 1 A [Xenopus laevis], NA","Q8N142, P30520","ADSSL1, ADSS","ADSS1, ADSS2",Plays an important role in the de novo pathway of purine nucleotide biosynthesis (By similarity),heatr2
ENOG411CPBC,ENOG411CPBC,19,19,52,34195797.671875,89344568.625,61770183.1484375,2.6127353273727896,1.3855609856504483,15,37,2.0808111540293135,1.0571460378708808,2.6312173683265137,"148232563, Xelaev18024997m.g, Xelaev18022830m.g","GenBank, Xenbase_9.1","got2.S, got2.L","aspartate aminotransferase 2 [Xenopus laevis], NA",P00505,GOT2,NA,"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)",heatr2
ENOG411CS0I,ENOG411CS0I,12,12,27,10894993.75,25213502.0390625,18054247.89453125,2.31422822423028,1.2105311469559235,6,21,2.7535546098433024,1.4612952210069885,2.6124304265127933,"148223772, Xelaev18044802m.g","GenBank, Xenbase_9.1",ftcd.L,"formiminotransferase cyclodeaminase [Xenopus laevis], NA",O95954,FTCD,NA,Formiminotransferase cyclodeaminase,heatr2
ENOG411CQ5E,ENOG411CQ5E,10,10,24,6221608.50390625,12552917.84375,9387263.173828125,2.017632230615061,1.0126632272583072,5,19,2.9204367074095634,1.5461841185935017,2.6046766389964455,"147902780, 147903863, 148234209, 3293344, Xelaev18008142m.g, Xelaev18000814m.g, Xelaev18010871m.g","GenBank, Xenbase_9.1","tnpo1.L, tnpo2-like.S, tnpo1.S","uncharacterized protein LOC495010 [Xenopus laevis], transportin 1 [Xenopus laevis], transportin 2 [Xenopus laevis], transportin [Xenopus laevis], NA","O14787, Q92973","TNPO2, TNPO1","NA, KPNB2 MIP1 TRN",Transportin,heatr2
ENOG411CXHY,ENOG411CXHY,6,6,11,3691436.3144531297,7976437.328125,5833936.821289064,2.160795053376581,1.1115622422580904,1,10,4.818720567225779,2.2686501430645927,2.574302664416302,"148232088, Xelaev18034689m.g, Xelaev18004498m.g, Xelaev18037083m.g","GenBank, Xenbase_9.1","Xelaev18034689m.g, Xelaev18004498m.g, Xelaev18037083m.g","MMS19 nucleotide excision repair homolog [Xenopus laevis], NA",Q96T76,MMS19,MMS19L,MMS19 nucleotide excision repair homolog (S. cerevisiae),heatr2
ENOG411CZRV,ENOG411CZRV,4,4,7,645512.2109375,3993049.96875,2319281.08984375,6.185862794060477,2.628974833989125,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747,"116283884, 147904826, 148230761, Xelaev18008935m.g","GenBank, Xenbase_9.1",wdr1.S,"AIP1 protein [Xenopus laevis], WD repeat-containing protein 1-B [Xenopus laevis], WD repeat-containing protein 1-A [Xenopus laevis], NA",O75083,WDR1,NA,WD repeat domain 1,heatr2
ENOG411D4DK,ENOG411D4DK,3,3,7,5052031.984375,10183732.890625,7617882.4375,2.0157696788384163,1.0113308064071804,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747,"148226202, Xelaev18029059m.g, Xelaev18043517m.g","GenBank, Xenbase_9.1","Xelaev18029059m.g, rps21.L","40S ribosomal protein S21 [Xenopus laevis], NA",P63220,RPS21,NA,ribosomal protein S21,heatr2
ENOG411CYP3,ENOG411CYP3,5,5,7,1832812.296875,4078200.875,2955506.5859375,2.2251055833450346,1.1538737949348794,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747,"147905165, 19572331, Xelaev18039805m.g, Xelaev18041129m.g","GenBank, Xenbase_9.1","ppm1a.L, ppm1a.S","protein phosphatase 1A [Xenopus laevis], protein phosphatase 2C alpha isoform [Xenopus laevis], NA",P35813,PPM1A,PPPM1A,"protein phosphatase, Mg2 Mn2 dependent, 1A",heatr2
ENOG411CRFF,ENOG411CRFF,10,10,17,11054849.125,18620483.6875,14837666.40625,1.6843724845950803,0.7522112133776251,3,14,3.2854912958357585,1.7161091200358138,2.465618439646369,"117558233, 148225023, 171846414, 49117032, 6273357, Xelaev18018997m.g, Xelaev18021625m.g","GenBank, Xenbase_9.1","dnmt1.L, dnmt1.S","LOC100036795 protein [Xenopus laevis], DNA (cytosine-5-)-methyltransferase 1 [Xenopus laevis], Dnmt1 protein [Xenopus laevis], DNA methyltransferase 1 [Xenopus laevis], NA",P26358,DNMT1,AIM CXXC9 DNMT,DNA (Cytosine-5)-methyltransferase 1,heatr2
ENOG411CYJA,ENOG411CYJA,18,19,37,12483105.859375,30075529.5078125,21279317.68359375,2.4092986029775054,1.2686132089927329,10,27,2.2301516674763935,1.1571418278476022,2.449584531472017,"11874759, 13021620, 205277333, 28958137, Xelaev18038100m.g, Xelaev18005901m.g, Xelaev18040992m.g","GenBank, Xenbase_9.1","uba1.L, uba6.L, uba1.S","ubiquitin activating enzyme [Xenopus laevis], ubiquitin-activating enzyme E1 [Xenopus laevis], ubiquitin-like modifier activating enzyme 1 [Xenopus laevis], Uba1a protein [Xenopus laevis], NA","P22314, A0AVT1, P41226","UBA1, UBA6, UBA7","A1S9T UBE1, MOP4 UBE1L2, UBE1L UBE2",Ubiquitin-like modifier activating enzyme,heatr2
ENOG411CU81,ENOG411CU81,28,28,83,67704292.2539063,128826985.65625,98265638.95507815,1.9027890458276986,0.9281156249812488,28,55,1.6918391960165744,0.7585924513573272,2.397008359339408,"147905905, 148226444, Xelaev18023999m.g","GenBank, Xenbase_9.1",rpn1.L,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 precursor [Xenopus laevis], similar to ribophorin I precursor [Xenopus laevis], NA",P04843,RPN1,NA,ribophorin I,heatr2
ENOG411CPHB,ENOG411CPHB,3,4,10,3937063.171875,5743270.5,4840166.8359375,1.4587702176149757,0.5447526508945698,1,9,4.3806550611143455,2.131146619314658,2.394577706630096,"147906416, 148229761, 148236103, 60729664, Xelaev18046656m.g, Xelaev18044001m.g, Xelaev18032384m.g","GenBank, Xenbase_9.1","ndrg4.S, ndrg4.L, ndrg1.L","protein NDRG1-B [Xenopus laevis], protein NDRG1-A [Xenopus laevis], protein NDRG3 [Xenopus laevis], N-myc downstream-regulated gene 1 protein - African clawed frog, NA","Q92597, Q9UGV2","NDRG1, NDRG3","CAP43 DRG1 RTP, NA",N-myc downstream regulated 1,heatr2
ENOG411CR49,ENOG411CR49,5,5,10,2478168.921875,7021895.84375,4750032.3828125,2.833501696259343,1.5025860661087094,1,9,4.3806550611143455,2.131146619314658,2.394577706630096,"147898423, 147904862, 147905626, 148222320, 148223732, 148225947, 148233362, 148237546, 3511118, 3511120, 44969552, Xelaev18005747m.g, Xelaev18005740m.g, Xelaev18009963m.g, Xelaev18009435m.g, Xelaev18009439m.g, Xelaev18005745m.g, Xelaev18005731m.g, Xelaev18006488m.g, Xelaev18005742m.g, Xelaev18005741m.g, Xelaev18009434m.g, Xelaev18005746m.g, Xelaev18009436m.g","GenBank, Xenbase_9.1","Xelaev18005747m.g, adh1.L, adh6.S, adh1b.S, adh5.S, loc100487777.L, adh1c.L, adh6.L, loc100486839.L, adh1b.L, loc100487608-like.S, Xelaev18005746m.g, Xelaev18009436m.g","alcohol dehydrogenase class IV [Xenopus laevis], class V alcohol dehydrogenase [Xenopus laevis], alcohol dehydrogenase 1C (class I), gamma polypeptide [Xenopus laevis], alcohol dehydrogenase 1A (class I), alpha polypeptide [Xenopus laevis], alcohol dehydrogenase 5 (class III), chi polypeptide [Xenopus laevis], uncharacterized protein LOC432021 [Xenopus laevis], alcohol dehydrogenase 1B (class I), beta polypeptide [Xenopus laevis], MGC83376 protein [Xenopus laevis], alcohol dehydrogenase class I [Xenopus laevis], alcohol dehydrogenase 5 [Xenopus laevis], NA","P11766, P07327, P00325, P00326, P40394, P28332","ADH5, ADH1A, ADH1B, ADH1C, ADH7, ADH6","ADHX FDH, ADH1, ADH2, ADH3, NA",alcohol dehydrogenase,heatr2
ENOG411CU95,ENOG411CU95,21,21,55,21873061.359375,47319055.65625,34596058.5078125,2.1633485536750716,1.1132661276886051,17,38,1.898283859816216,0.9246957418472312,2.3872578483026308,"147906917, 155369253, 213626628, 28461388, 30141904, 51258756, Xelaev18015656m.g","GenBank, Xenbase_9.1",ipo5.S,"karyopherin-beta 3 variant [Xenopus laevis], importin 5 [Xenopus laevis], Karyopherin-beta 3 variant [Xenopus laevis], Kap beta 3 protein [Xenopus laevis], karyopherin beta 3 protein [Xenopus laevis], NA","O00410, O60518","IPO5, RANBP6","KPNB3 RANBP5, NA",Importin 5,heatr2
ENOG411CTFT,ENOG411CTFT,4,4,6,888854.296875,3978639.765625,2433747.03125,4.476143930015245,2.162256426792581,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355,Xelaev18018534m.g,Xenbase_9.1,pcyox1.L,NA,Q9UHG3,PCYOX1,KIAA0908 PCL1,Prenylcysteine oxidase 1,heatr2
ENOG411CPI8,ENOG411CPI8,6,6,6,276301.59375,506202.03125,391251.8125,1.8320633782084363,0.873469412739136,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355,"147902798, 147902836, 148234020, Xelaev18037288m.g, Xelaev18027561m.g","GenBank, Xenbase_9.1","mfn2.S, mfn1.L","mitofusin 2 [Xenopus laevis], MGC80345 protein [Xenopus laevis], mitofusin 1 [Xenopus laevis], NA","O95140, Q8IWA4","MFN2, MFN1","CPRP1 KIAA0214, NA",mitofusin,heatr2
ENOG411CPFH,ENOG411CPFH,4,4,6,1750097.2578125,3043253.46875,2396675.36328125,1.7389053409259412,0.7981794002157152,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355,"134152544, 148223907, Xelaev18015311m.g","GenBank, Xenbase_9.1",por.S,"NADPH-P450 reductase [Xenopus laevis], P450 (cytochrome) oxidoreductase [Xenopus laevis], NA",P16435,POR,CYPOR,This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity),heatr2
ENOG411CPU1,ENOG411CPU1,13,13,28,7163165.4296875,14060157.640625,10611661.53515625,1.9628413972338465,0.9729436039460112,7,21,2.4093602836128896,1.2686501430645927,2.354135541604539,148228118,GenBank,NA,nucleoporin 155kDa [Xenopus laevis],O75694,NUP155,KIAA0791,Nucleoporin 155kDa,heatr2
ENOG411CPJD,ENOG411CPJD,7,7,13,1392130.28515625,4872332.078125,3132231.181640625,3.4999109853989987,1.8073182298986021,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136,148234122,GenBank,NA,leukotriene A4 hydrolase [Xenopus laevis],P09960,LTA4H,LTA4,Leukotriene A4 hydrolase,heatr2
ENOG411CVIM,ENOG411CVIM,6,6,13,5120629.92578125,12758663.65625,8939646.791015625,2.4916199454315033,1.3170840263650114,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136,"166796906, Xelaev18008160m.g, Xelaev18010883m.g","GenBank, Xenbase_9.1","hexb-like.L, hexb-like.S","LOC100158266 protein [Xenopus laevis], NA","P07686, P06865","HEXB, HEXA",NA,hexosaminidase B (beta polypeptide),heatr2
ENOG411CSMB,ENOG411CSMB,7,7,13,4836344.078125,9033195.46875,6934769.7734375,1.8677735336506651,0.9013195397982585,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136,"147899340, 50897495, Xelaev18008447m.g, Xelaev18011095m.g","GenBank, Xenbase_9.1","me2.L, me2.S","malic enzyme 2 [Xenopus laevis], mitochondrial malic enzyme 2 [Xenopus laevis], NA",P23368,ME2,NA,"malic enzyme 2, NAD( )-dependent, mitochondrial",heatr2
ENOG411CW29,ENOG411CW29,8,8,19,4785143.05859375,11801015,8293079.029296875,2.4661780965579037,1.3022769886065912,4,15,2.8036192391131807,1.4872904295399332,2.2974320335425453,Xelaev18001856m.g,Xenbase_9.1,atg7.L,NA,O95352,ATG7,APG7L,autophagy related 7,heatr2
ENOG411CS0R,ENOG411CS0R,30,30,116,86284447.1367188,197304562.73242152,141794504.93457016,2.2866758643048377,1.1932518786041724,42,74,1.5281354864352366,0.6117724602210783,2.2796765638795575,"148222150, 148224496, 148227844, 148230849, 28422226, 963083, 963085, Xelaev18035488m.g","GenBank, Xenbase_9.1",pdgfb-like.L,"protein phosphatase 2, regulatory subunit A, alpha [Xenopus laevis], similar to phosphorylase phosphatase [Xenopus laevis], protein phosphatase 2, regulatory subunit A, beta [Xenopus laevis], LOC398563 protein [Xenopus laevis], phosphorylase phosphatase [Xenopus laevis], NA","P30154, P30153","PPP2R1B, PPP2R1A",NA,"protein phosphatase 2, regulatory subunit A",heatr2
ENOG411CQ1J,ENOG411CQ1J,13,13,38,33939937.640625,62632352.84375,48286145.2421875,1.8453879764581864,0.8839241620140013,11,27,2.044305695186694,1.0316109457637432,2.2358029503672,"148225092, 148236889, 47123022, Xelaev18005305m.g, Xelaev18005304m.g","GenBank, Xenbase_9.1","paics.1.L, paics.2.L","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole succinocarboxamide synthetase [Xenopus laevis], phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase, gene 1 [Xenopus laevis], LOC431975 protein [Xenopus laevis], NA",P22234,PAICS,ADE2 AIRC PAIS,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",heatr2
ENOG411CZ92,ENOG411CZ92,4,4,9,14872200.5,10070740.375,12471470.4375,-1.4767733002947163,-0.5624483747535459,1,8,3.94258955500291,1.9791435258696077,2.202224418484873,"115527863, 148232411, 148238177, Xelaev18033740m.g, Xelaev18046359m.g","GenBank, Xenbase_9.1","sdcbp.S, Xelaev18046359m.g","Sdcbp protein [Xenopus laevis], similar to syndecan binding protein (syntenin) [Xenopus laevis], syndecan binding protein (syntenin) [Xenopus laevis], NA",O00560,SDCBP,MDA9 SYCL,syndecan binding protein (syntenin),heatr2
ENOG411CUKV,ENOG411CUKV,34,34,105,100869039.30078131,144940786.9570313,122904913.12890631,1.436920465999805,0.5229802103803962,38,67,1.5276130469526945,0.6112791468153864,2.1720338913834576,"111185527, 124481898, 125858544, 147902627, 148229642, 351722080, 50415403, 51703510, 51704144, 68533947, Xelaev18001628m.g, Xelaev18001648m.g, Xelaev18047951m.g, Xelaev18036220m.g, Xelaev18001975m.g, Xelaev18001671m.g, Xelaev18047956m.g, Xelaev18036221m.g, Xelaev18001974m.g, Xelaev18036219m.g","GenBank, Xenbase_9.1","gbp4.L, Xelaev18001648m.g, gbp7.S, Xelaev18036220m.g, Xelaev18001975m.g, gbp6.1, gbp5.S, Xelaev18036221m.g, Xelaev18001974m.g, gbp2.L","LOC398692 protein [Xenopus laevis], Unknown (protein for MGC:160143) [Xenopus laevis], LOC100037176 protein [Xenopus laevis], guanylate binding protein 2, interferon-inducible [Xenopus laevis], guanylate binding protein 4 [Xenopus laevis], guanylate binding protein 7 [Xenopus laevis], Unknown (protein for MGC:82969) [Xenopus laevis], MGC82824 protein [Xenopus laevis], LOC446944 protein [Xenopus laevis], NA","Q96PP9, Q6ZN66, Q8N8V2","GBP4, GBP6, GBP7","NA, GBP4L",Guanylate binding protein,heatr2
ENOG411CVT6,ENOG411CVT6,4,4,5,3975185.90625,3679708.7265625,3827447.31640625,-1.0802990675741686,-0.11143076014611807,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,"148223704, 148230715",GenBank,NA,"sirtuin 5 [Xenopus laevis], MGC81733 protein [Xenopus laevis]",Q9NXA8,SIRT5,SIR2L5,"NAD-dependent lysine demalonylase and desuccinylase that specifically removes malonyl and succinyl groups on target proteins. Activates CPS1 and contributes to the regulation of blood ammonia levels during prolonged fasting acts by mediating desuccinylation of CPS1, thereby increasing CPS1 activity in response to elevated NAD levels during fasting. Has weak NAD- dependent protein deacetylase activity",heatr2
ENOG411CRUN,ENOG411CRUN,3,3,5,1020572.943359375,2090742.625,1555657.7841796875,2.048596955860886,1.0346361742092662,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,"146327763, Xelaev18016662m.g, Xelaev18016661m.g","GenBank, Xenbase_9.1","atxn10.L, Xelaev18016661m.g","LOC100049766 protein [Xenopus laevis], NA",Q9UBB4,ATXN10,SCA10,ataxin 10,heatr2
ENOG411CXFW,ENOG411CXFW,3,3,5,668533.4921875,766075.234375,717304.36328125,1.145904047182939,0.19648624440114448,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,"148226408, Xelaev18003558m.g, Xelaev18025336m.g, Xelaev18023264m.g","GenBank, Xenbase_9.1","Xelaev18003558m.g, dhx9.S, dhx9.L","ATP-dependent RNA helicase A-like protein [Xenopus laevis], NA",Q08211,DHX9,DDX9 LKP NDH2,DEAH (Asp-Glu-Ala-His) box polypeptide 9,heatr2
ENOG411D4TX,ENOG411D4TX,2,2,5,4370293.703125,7229899.4375,5800096.5703125,1.6543280448932356,0.7262453420147246,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,147901035,GenBank,NA,ribosomal protein S28 pseudogene 9 [Xenopus laevis],P62857,RPS28,NA,ribosomal protein S28,heatr2
ENOG411CYS8,ENOG411CYS8,3,3,5,439097.1796875,1207387.609375,823242.39453125,2.7497047697602675,1.4592767277036844,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,Xelaev18038290m.g,Xenbase_9.1,sardh.L,NA,Q9UL12,SARDH,DMGDHL1,sarcosine dehydrogenase,heatr2
ENOG411CVE5,ENOG411CVE5,3,3,5,545828.1015625,1990038.84375,1267933.47265625,3.645907636586078,1.8662780133992414,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243,"49119610, Xelaev18026434m.g","GenBank, Xenbase_9.1",aars2.L,"LOC443692 protein [Xenopus laevis], NA",Q5JTZ9,AARS2,AARSL KIAA1270,"Alanyl-tRNA synthetase 2, mitochondrial",heatr2
ENOG411CTBI,ENOG411CTBI,21,21,73,76196119.1953125,113230378.09375,94713248.64453125,1.4860386498623122,0.5714716389179371,25,48,1.6511699845738685,0.7234886504014115,2.1564749752633086,"148229707, 148237169, Xelaev18031324m.g, Xelaev18033323m.g","GenBank, Xenbase_9.1","sdha.L, sdha.S","succinate dehydrogenase [ubiquinone] flavoprotein subunit B, mitochondrial precursor [Xenopus laevis], succinate dehydrogenase [ubiquinone] flavoprotein subunit A, mitochondrial precursor [Xenopus laevis], NA",P31040,SDHA,SDH2 SDHF,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",heatr2
